Order;Lexeme;Umbrian_attested;Oscan_attested;include;comment;INCLUDE;sample2;sample;meaning;umbrian;oscan;latin;Frequency;meaning;English;Dutch;German;;
55;towtaa;"tuta; tuta; tuta; tuta; tuta; tuta; tuta; tuta; tuta; tutas:; tutaper; tutas:; tuta; tute:; tuta; tuta; tuta; tote.; tote.; tota; tote.; tota; totem; tata.; totar.; tote.; tota.; totar.; tote.; tota; tota; tote.; tota.; totar.; tote.; totam; totar; tote; tota; tota; totem; totam.; totar.; tote.; totam.; totar.; tote.; tota; tota; tota; tota; tota; tota; tota; tote.; tota; tote.; totar.; tote.; totam.; totar.; tote.; tota; tota; tota; tota; tote.; tota; tote.; tota.; totar.; tote; totam.; totar.; tote.; tota; totar.; tota; totar.; tota; tote.; totar; totam.; totar.; totar.; tote.; totar.; tota; totar.; tota; totar.; tota; totar.; tota; tote.; totar.; totar.; tote.; totar.; totam.; totar.; totar.; totar.; tote.; totar.; tota; totar.; tota; totar.; tota; totar.; tota; totar.; tote.; totar.; totar.; totar.; totam.; totar.; totar.; totar.; tote.; totar.; tota; totar.; tota; totar.; tota; totar.; tota; totam.; totar; totar.; tote.; totar.; totar.; tota";"τωϝτο; τω<ϝ>τ; touto; toutad; touto; t<o>utam; toutad";YES;;yes;yes;yes;people;toto;towto;;;people;folk;volk;volk;;
64;homoon;"homonus.; homonus.";humuns:;YES;;yes;yes;yes;person;homons;homons;homo;;person;;mEns;mEnS;?;
10;deksitero;"testru; testre:; testre:; testru:; testru{.}; destre; destru; destru; destram; destre.";"destr; dest]ra<k>";YES;;yes;yes;yes;right;dEstro;dEstro;dEkstEra;;right;rEit;rExt;rExt;;
47;rekto;"rehte:; rehte:; rehte:";"ρεhτ[ε][-]; r[ehtúd]; recta(s)[·]";YES;;yes;yes;yes;rightly;rEte;rExte;rEktE;;rightly;;;;;
76;wiaa;"vea:; vea:; vía:; uia.; uia.; uia.; uia.; uia.";"víass·; víam·; víu·; vía(m)·; ví|ass·; vía(m)·; víu·; víam·; víú·; víaí·; viam[·]; v]íam; víu";YES;;yes;yes;yes;road;weo;weo;wia;;road;we;vEx;vEk;;
53;salwo;"saluo.; salua.; saluo.; salua; saluo; salua.; saluuom.; saluua.; saluo.; saluam.; saluom.; salua.; saluo; saluo; salua.; saluo.; saluom.; salua.; saluom.; salua.; saluo.; salua; saluom.; salua.; saluom.; salua.";"salavs; ϲαλαϝϲ·";YES;;yes;yes;yes;safe;salwo;sal3wo;salwa;;safe;;;;;
50;deyke;"teitu:; teitu; teitu:; teitu:; teitu:; deitu.; dersicurent.; deitu.; dersicust.; deitu.; deitu.; deitu.; deitu.; deitu; deitu.";"deíkum·; deíkum·; deicans; deicum; dicust";YES;;yes;yes;yes;say;dE8ikE;dikEd;diksit;;say;sEd;zE;sogt3;;
60;akro;akru;akrid;YES;U doubtful;yes;yes;yes;sharp;akro*;akrom;akrum;;sharp;Sarp;sxErp;Sarf;;
63;far;"farer.; far.; farer.; far.";far;YES;;limited;yes;;spelt*;far;far;far;;spelt;spElt;spElt;;;
16;stayee;"staheren:; stahituto.; stahitu.";"ṣ[tait]; stahint; stahínt_|; staíet; [a]f̣stint·; afstist; eestínt·; staít[·]; stạị́[t; stí<n>t; ee[stít]; staíet";YES;;yes;yes;yes;stand;stau;stau;sto;;stand;stEnd;stan;Steh3n;;
75;feesnaa;"fesner; fesnaf";"fíís[nam·][-]; fííṣṇú[·]; fíísnụ́·; fíísnam·; físnam·";YES;;limited;yes;;temple*;fesno;fesno;fana;;temple;;;;;
87;putisii;"puze:; puze; puze:; pusi.; pusei.; pusei.; pusi.; puse; puse.; pusi.; pusi.; puse.; pusi.; puse.; puse.; puse.; pusi.; puse.; pusi.; puse.; puse.; puse.; puse.; pusei.";"pous; puz·; puz; puz·";YES;;yes;yes;yes;that;putse;puts;ut;;that;8Et;dat;das;;
11;ekso;"esumek:; esu:; esu; esu:; eso.; eso; eso; eso.; esis; eso.; esu.; esu.; esu.; esu.; esu.; essu.; esu.; esu.; esu.; eso.; eso.; esa.; esa.; esu.; esu.; esu.; esom; eso.; esu.; esu.; eso.; eso.; esir.; esir.; eso.; eso.; esir.; esir.; eso.; eso.";"ek(ak)·; eka(s):; e[k]a(s):; ekik⁝; ekas·; ekas:; |_ek(úk)·; ẹk(úk)·; ekas; εϲοτ; ekík·; ekak·; ekik:; ekask·; [-][e]ḳak[·]; εκακ]; ekak·; [-][eka]ḳ·; [-][ekak; ekak·; ekak·; ekass·; ekúk·; ekík·; exac; exe<ic>; exeic; exac; exaisc; exeic; exeic; exac; ex<e>ic; exac; eksuk·; eksuk·; eksuk·; eksuk·; ek[s]uk·; eksuk·; ekík·; ekask·]; ekask·; ek]ak·; ekask·; ekík·; εκο; ekik";YES;;yes;yes;yes;this;Eso;Ekso;;;this;8is;dit;diz3;;
14;tri;"tre; tref; tre; tref:; tref:; tref:; tref:; tref:; trif:; tre:; tref:; tre:; tris:; tris; triia; treif.; trif.; trif.; trif.; trif.; trif.; trif.; trif.; trif.; trif.; trif.; trif.";"tris; trís[·]; tr]ium; <t>[riu]m";YES;;yes;yes;yes;three;trif;tres;trEs;;three;8ri;dri;drai;;
94;eksoodk;"iso.; issoc.";i<s>uc;YES;;yes;yes;yes;thus;iso;isuk;;;thus;83s;d3s;;;
52;hery;"heries:; eretu:; heriiei:; herter:; heries:; herter:; heri:; herte:; herte:; herte:; herifi:; herti.; herti.; herti.; herti.; heritu.; hereitu.; heritu.; heritu.; heries.; heriest.; hertei";"heriiad; heriiad; herest; herest; herest; herest; [-][her]|_est.; heṛ[est,]; hereset·";YES;;yes;yes;yes;want;hErye;hEryad;hortEtur;;want;wil;vil3;vol3n;;
33;pomde;"pune:; pune:; pune:; pune:; pune:; pune:; puni:; pune:; pune:; pune; pune:; pune; pune; pune:; pune; ponne; pone.; pone; pane.; ponne.";"pún·; púṇ; pun:; pun:; pon; pún·; puṇ[·";YES;;yes;yes;yes;when;ponE;pon;kum;;when;wEn;vaner;van;;
79;pufei;"pufe:; pufe.; pufe.; pufe.";"puf; puf·; puf.; puf·; puf; [puf]";YES;;yes;yes;yes;where;pufE;puf;ubi;;where;wEr;var;vo;;
31;po;"pu:; pusme:; puri.; puri.; poei.; poi.; poi.; po.; poe; poi.; pora.; pora}; pafe.";"pas·; pas·; pas·; pas·; πωτ; πουϲ; p̣(ú)d·; pai:; pai:; pai; pui; (pus); paam; p̣aam·; pad·; pod; pod; poizad; pae{i}; pae; pod; pas; pod; pụ́[d]; pús·; púd; púd·; púd; paí·; púí]; [p]aí; pụ́[s]; pús; paí·; pús·; púd·; pus·; pus·";YES;;yes;yes;yes;who;pa*;pam;kw~am;;who;hu;di;dEr;;
34;pi;"pis:; pis:; pisi:; piře:; pisi:; pisi.; pirse; pis; pir.; pirse; pisi.; pisi.; pifi.";"pis; [-][π]ιϲ; πιϲ; pid:; pidum:; pis:; pis; pieisum; piei; pis; pis; pis; pis; pis; pis; pis; pis; pis; pis; p{h}im; pis; pis; pis; pis; [pis; pis; [pis; pis; pis; píís·; píd·; píd·; pídum; píd·; pím·";YES;;yes;yes;yes;who;pis;pis;kw~is;;who;hu;vi;vEr;;
89;kom;"ku:; ku:; kum:; kum:; ku:; ku:; ku:; kum:; ku:; ku; ku:; ku:; co.; co.; co.; co.; co.; co.; co.; co.; co.; co.; co.; com.; co.; com.; co.; com.; com.; co.; co.; com.; com.; co.; com.; co.; co.; co.";"com; con; com; |_co";YES;;yes;yes;yes;with;kom;kom;kum;;with;;mEt;mit;;
93;skreyfe;"screihtor.; screhto.";scriftas;YES;;limited;yes;;written*;skreto;skrifta;skripta;;written;wroyt;vrEt3;roys3n;;
58;atno;"acnu; acnu.; acnu.; acnu.";"akun(um)·; akeneí·; akeneí·; acunud][-]; acunum; aceneis.; acenei; [-][ac]eneis";YES;;yes;yes;yes;year;akno*;ak3nom;annum;;year;yir;yar;yar;;
41;tee;"tefe:; tiu:; tiu:; tefe:; tefe.; teio.; tio.; tio.; tio.; tio.; tio.; tio; tiom.; tiom.; tiom.; tiom.; tio.; tiom.; tio.; tiom.; tiom.; tiom.; tiom.; tiom.; tiom.; tiom; tiom.; tiom.; tiom.; tiom.; tiom.; tiom.; tiom.; tiom; tiom.; tiom.; tiom.; tiom.; tiom.; tiom; tiom.; tiom.; tiom; tiom.; tiom.; tiom; tiom.";"τιω]μ̣; t(i)fei:; tiium:; tiú(m):; tíf[ei][-]";YES;;yes;yes;yes;you;tio*;tiom;tE;;you;yu;y3;ir;;
99;perno;perne.;p̣ẹrnúm·;maybe;;;;;?;pErno*;pErnom;;;?;;;;;
73;portaa;"purtatu; portatu.; portaia.; portust.";p̣ụ́rtam·;doubtful;;specific;;;carry;porto;porto;porta;;carry;;;;;
92;seewo;"sevum:; seueir; seuom.";siuom;YES;;DOUBLE;;;his;sewo*;sewom;suum;;his;;;;;
12;postero;postra.;"pustrei·; pústr(eí); pụ́streí·";YES;;double;;;next;postro;postro;postEra;;next;nEkst;nast;n3xst;;
7;dyowyo;"iuvie:; iuvie:; iuvi:; iuv; iuviu:; iuvie:; iuvie:; iuvie:; iuviẹ:; iuvie:; iuvie; iouie.; ioui.; ioui; ioui; ioui.; iouie.; iouie.; iouie; iouie.; iouie.; iouie.; iouie.; iouie.; iiouie.; iouie.; iouiu.; iouia.; iouia.; iouies.";"diuviạ[s]; diuvia[s]; iúviass·; δ̣ι̣|οϝιοι; διωϝιιαϲ·; iúviia(m)·";PROPER;;;;;of Jupiter;;;;;of Jupiter;;;;;
74;omben;"umen:; umen:; umne:";úmbṇ[-];maybe;;;;;ointment;omE*;ombEn;uNguEn;;ointment;oyntmEnt;;;;
30;towtiko;"todcom; todcom; todceir.; totcor.";"túvtik(ud)·; túvtiḳ(ud); túv(tíkaí)·; t(úvtíkaí)·; τουτεικαιϲ; τουτ]ε̣ικουδ; túv(tíkú); túv(tíks); t(úvtiks)·; túv(tíks); túv(tíks)·; t·; t·; t·; t·][-]; t·; t·; t·; t·; t·; t·; t·; t·; t·; t; t·; t·; t·; t; t; t; t·][-]; t; t; t·; t; t·; t; ]ṭ; t; t(úvtíks); t(úvtíks)·; túvtíks·; túv - [tík]ṣ[·]; touti]|cas; touticom; toutico; tú]v(tikú)·; túv(tíkad)·; t(úvtíks)·; ṭ(úvtíks)·; t(úvtíks)·; t(úvtíks); t(úvtíkúd); t(uvtiks)·; t(úvtíks)·";YES;;DOUBLE;;;popular;totko;towtiko;;;popular;popular;;;;
88;etanto;etantu:;"etanto; etanto";YES;;DOUBLE;;;so great;etanto;etanto;tanta;;so great;gret;xrot;gros;;
42;triopert;"triiuper:; triiuper:; triiuper:; tri{:}iuper; triiuper:; trioper.; trioper.";τρι[οπερτ][-];YES;;DOUBLE;;;three times;trioper;triopert;tEr;;three times;;;;;
102;postin;"pustin:; pustin:; pusti:; pusti:; pusti:; pusti:; posti.; posti.; posti.; posti.";"pústín·; pústí·";YES;;double;;;within;posti*;posten;;;within;;;;;
65;towo;"tuer.; tuer.; tua.; tua.; tuer.; tuer; tua.; tuua.; tuer.; tuer; tua.; tua.; tua.; tua.; touer.; touer.; tua.; tua.; tua.; t{.}ua.; tua.; tua.";tuvai:;YES;;DOUBLE;;;your;towo;towo;tua;;your;yo;yow;doyn3;;
85;post;"post.; post.; post.; post.";"post; {post}; post; post; post";DOUBLE?;;double;;;;;;;;;;;;;
13;a;{a};"ạ[-]; a[-]; a; a; [-]a[-]; a; a; α; a; a; a; a; a; a; a; |a|; a; a; α; a; A; a; A; a; a; a; {a}; a; a·; a; a; a; a; a; |a|; a; a; a; a; a[-]; a; a; a; [-]Α[-]; [-]α·; a";ABBR;;;;;;;;;;;;;;;
104;as;"a.; a.; a.; a.; a.";a**;ABBR;;;;;;;;;;;;;;;
95;alyo;"arsir.; arsir.";allam;YES;U different;;;;;;;;;;;;;;
72;keresyo;"çe[r]|fi:; çerfie:; çerfie:; śerfi.; s̀erfia.; s̀erfia.; serfia|; s̀erfia.; śerfie.; śerfie; śerfia.; śerfia.; śerfia.; śerfia.; serfia.; śerfia.; śerfia.; śerfiar.; śerfia.; śerfia{r}.; śerfiar.; śerfie.; śerfia.; śerfia.; śerfia; śerfia.; śerfia.; śerfia.; śerfiar.; śerfia.; śerfia.; śerfiar.; śerfie.";kerríiaí·;PROPER;;;;;;;;;;;;;;;
44;hafy;"eitipes:; eitipes:";"hαfειτουδ; <h>ιπειδ; hipid.; hafie{i}st; hipust; hipid; hipid.; <h>ipid.; hipust,; haf[iar·";YES;compound;;;;;;;;;;;;;;
43;epsoons;"esuf:; esuf:";"<εϲ>ϲουf; essuf.; esuf; esuf";YES;;;;;;;;;;;;;;;
6;fisyo;"fisiu:; fisiu:; fisiu:; fisiu:; fisiu:; fisiu:; fisiu:; fisiu:; fisiu; fisiu.; fisei; fisiu.; fisie.; fisei.; fisier.; fisi; fisi.; fisier.; fisi.; fisiu.; fisiu.; fisie.; fisi.; fisier.; fisie.; fisim.; fisier.; fisi.; fissiu.; fisiu.; fisiem.; fisim.; fisier.; fisi; fisim.; fisieṛ; fisi; fisiu.; fisiu.; fisiu.; fisiu; fisiu.; fisiu.; fisiu; fisi.; fisiu; fisi.; fisie.; fisi.; fisi.; fisi{.}er.; fisi.; fisiu; fisiu.; fisiu.; fisiu.; fisi.; fisiu.; fisie.; fisi.; fisier.; fisi.; fisi.; fisier; fisi.; fisiu.";fis[-];PROPER;;;;;;;;;;;;;;;
32;fii;"fuia:; fuiest:; fito.";"fiíet·; fi[í]et; fiị́et";DERIV;;;;;;;;;;;;;;;
24;dyow;"iuve:; iuve:; iuue.; dei; dei.; dei.; di.; dei.; dei.; di.; di.; di.; di.; di; di.; di.; di.; di; di.; di; di.; di.; di; di.; di.; di.; di.; di; di.; di.; di.; di.; di; di.; di.; di.; di.";"ιουfηι; [-]υ̣ϝι; διουϝει; iuveí·; iuveí·; διοϝηι; iúveí:; iúveís; διωϝηιϲ; ζωϝηι; diúveí·; diúveí·; diúveí·; diúveí·; iúveís·; di; zoveṣ[·][-]; iú(veí); [-]δι[-]";PROPER;;;;;;;;;;;;;;;
78;dyowpateer;"iuvepatre; iuvepatre:; iuvepatre:; iupater:; iuvepatre:; iuvepatre";dí{·}pa{·}tír;PROPER;;;;;;;;;;;;;;;
20;k?;k.;"c·; |k|·; |k|·; c·; |k|; c·; |k|·; |k|; c·";ABBR;;;;;;;;;;;;;;;
59;kwaystoor;"kvestur:; kvestur:";"κϝαιϲτορ·; κϝαιϲτορ·; kva]ị́sstur·; kvaísstur·; kvaízstur·; [k]vaísstur; kvaíssṭur·; [·k]vaísstur; κϝαιϲ(τορ); [-][κϝ]α̣ι̣ϲτορ·; q(uaestor); q(uaestor); q(uaestor); q(uaestor); kvaístụ|reí·; <kv>(aístur); [-][kvaístur·; k[vaístur";LOAN;;;;;;;;;;;;;;;
81;mee;mehe.;íív:;CHECK;;;;;;;;;;;;;;;
80;nummo;"numer:; numer:; numer:";"νο(μοϲ); n(ummum); n(ummum); n(ummois)";LOAN;;;;;;;;;;;;;;;
26;nowyo;nuvis:;"νο(ϝιϲ); νουιου; n(ú)v(is)·; no(uieis); no(uis)·; no(uieis); n(ú)v(is)·; núis; n(úvis); núvis·";PROPER;;;;;;;;;;;;;;;
23;p?;"p.; p.";"p; |π|; π; π·; p·; p·; p·; p[·]; |p|·; |p|·; p·; p; p·; |p|; |p|; p·; p·; p·; p; p; p[-]; |p|";ABBR;;;;;;;;;;;;;;;
103;ped;"peři:; peři:; persi.; persti; persi.; persi.; persi.";pedú;HOMONYM;;;;;;;;;;;;;;;
77;perkaa;"perkaf:; perca.; perca.; perca.; perca.; percam.; perca.; perca.; perca.";"per(ekaís); perek(aís)·";HOMONYM;;;;;;;;;;;;;;;
5;pomperyaa;pumpeřias:;"pumperias·; pumperias·; pumpe|ri(as); púmperiaís; pum|periais·; púmperiais·; púmperi|a(s); púmpe|r(ias)";PROPER;;;;;;;;;;;;;;;
71;potero+pis;putrespe:;"pútereípíd·; pútereípíd·; pútúrúspíd·; pútụ́rụ́[mpíd]";YES;;;;;;;;;;;;;;;
17;saakri;"sakref:; sakref:; sakre:; sakre:; sakre:; sakre:; sakre; sakre:; sakre:; sakre:; sakreu:";"saḳrid·; [-][sak]rid; sakrim; sakrid·; sakriss·; [s]|_akrid_|; sakrim:";YES;;;;;;;;;;;;;;;
67;siste;"sestu:; seste:; sestu:; andersistu.; reste.";statús;DERIV;;;;;;;;;;;;;;;
3;t.;"t:; t.; t.";"|t|·; τ; |_t[·]; t·; t[·; |t|; |t|; τ[-]; t·; t; |t|; |t|; t[·]; t·";ABBR;;;;;;;;;;;;;;;
70;tefro;"tefre:; tefri:; tefra; tefra; tefra; tefra:; tefrei.; tefro.; tefro; tefro.; tefre; tefre; tefre; tefre.; tefre.; tefre.; tefre.; tefre.; tefre.; tefre.; tefruto.";"tefúrúm·; tefúrúm·";PROPER;;;;;;;;;;;;;;;
25;trebo;"trebe:; trebo.";τρε<β>ω;PROPER;;;;;;;;;;;;;;;
19;lowkyo;"vuvçis; vuṿçis";"luvkis; λο̣F̣κιϲ; l·; l·; ([lu]vkụ(i); lúvikis·; lúvkis·; lúv(kieís); λευκιοϲ; λ·; λωϝκιϲ·; λωϝκιϲ·; luv[kis]; luvk[is][-]; l(úvkis)·; l(úvkieís)·; l·; |l|·; l; l·; l·; l·; l; l(úvkis)·; l(úvkis)·; lúvkis·; |l|·; l·; l·; l·; l; l; l; l·; l; l; lúvkis·; lúvkis; λωϝκ(ιηιϲ)·; l(úvkis)·; l(úvkieís)·; l·; l(úvkis)·; l(úvkieís)·; l(úvkieís)·; l·; l(úvkis)·; l(úvkis)·; ḷúvkiíúí·; l(úvkis)<·>; l(úvkis)<·>; l(úvkieís)·; l(úvkieís)·; l(úvkieís)·; l(úvkieís)[·]; lúvkiúí·; l·; lu[-]; ḷ·; |l|";PROPER;;;;;;;;;;;;;;;
